"","Name","Birth.name.other.names","DOB","DOD","Official.fb.page..twitter.handle..website.and.other.online.profiles","Professions","Top.picks..will.be.better.if.we.used.an.algo...like.most.rated.movies.","Awards.and.recognitions","NA.","Brief.description","Image..source.","Known.For","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77","NA..78","NA..79","NA..80","NA..81","NA..82"
"81","Karan",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Karan is a small town and urban commune in the Koulikoro Region of southwestern Mali. In the 2009 census the commune had a population of 6,874.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"82","Karunas",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Karunaas (Tamil: கருணாஸ்; born 21 February 1970 as Karunanidhi) is a Tamil comedic film actor in the Tamil film industry. He has acted with many prominent actors and starred in successful films. Appearing mostly in supporting roles and providing comical relief, he also played lead roles in Dindigul Sarathy and Ambasamudram Ambani. Apart from acting, Karunas is known as a musician and singer as well.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"83","Karthik Kumar",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Karthik Kumar (born 21 November 1977) is a noted theatre and Kollywood actor. He is popularly known as 'Evam' Karthik, due to his theater connections. He studied chemical engineering in Sri Venkateswara College of Engineering, Chennai. He is married to playback singer Suchitra Ramadurai . He currently stars as Arjun in the Vijay TV drama Dharmayutham.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"84","Karthik Muthuraman",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"85","Karthi","Karthik Sivakumar","25/05/1977",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Karthik Sivakumar (born on 25 May 1977), better known by his stage name Karthi, is an Indian film actor, who works in the Tamil film industry. The younger son of actor Sivakumar, Karthi holds a Bachelor's degree in Mechanical Engineering and a Master's degree in Industrial Engineering. Since he had always wanted to become a film director, he returned to India and joined Mani Ratnam as an assistant director. He was offered acting roles and made his acting debut in Paruthiveeran in 2007 as the titular character, a careless village rowdy, winning critical acclaim and several accolades including the Filmfare Award for Best Actor and a Tamil Nadu State Film Award. His next role was that of a coolie in Aayirathil Oruvan (2010), a fantasy-adventure film directed by Selvaraghavan. He achieved consecutive commercial successes with his subsequent releases – Paiyaa (2010), Naan Mahaan Alla (2010) and Siruthai (2011), which established him in the Tamil film industry.Apart from his film career, Karthi has also been involved in social welfare activities, encouraging fans to do likewise through the ""Makkal Nala Mandram"", a social welfare club that he inaugurated. In 2011, he became a cause ambassador to promote awareness of lysosomal storage disease.""","http://mimg.sulekha.com/karthick/wallpaper/800-600/karthik-sivakumar-wallpaper-0903.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"86","Karunas",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Karunaas (Tamil: கருணாஸ்; born 21 February 1970 as Karunanidhi) is a Tamil comedic film actor in the Tamil film industry. He has acted with many prominent actors and starred in successful films. Appearing mostly in supporting roles and providing comical relief, he also played lead roles in Dindigul Sarathy and Ambasamudram Ambani. Apart from acting, Karunas is known as a musician and singer as well.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"87","Kelly Dorji",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Kelly Dorji (born 4 January) is a Bhutanese actor and model based in Mumbai, India. He studied at St. Paul's School, Darjeeling and later St. Xavier's College, Mumbai. Dorji got his break into the mainstream through the Gladrags Manhunt Contest.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"88","Kishore",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"89","Kota Srinivasa Rao",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Kota Srinivasa Rao is an Indian film actor, known for his works primarily in Telugu Cinema, and theater. He has also starred in few Bollywood and Tamil films. A former politician, Rao, has served as MLA from Vijayawada East assembly constituency in Andhra Pradesh, India from 1999-2004.He made his debut with the Telugu film Pranam Khareedu in 1978. He has starred in six hundred and fifty feature films. He has received six state Nandi Awards as best character, villain and supporting actor. In 2012, he has garnered the South Indian International Movie Award, for his work in Krishnam Vande Jagadgurum.He received wide citical acclaim for his diverse roles in hits such as Attarintiki Daredi (2013), Dookudu (2011), Rakta Charitra (2010), Leader (2010), Ready (2008), Sarkar (2006), Bommarillu (2006), Pournami (2006), Athadu (2005), Malliswari (2004), Tagore (2003), Idiot (2002), Student No. 1 (2001), Ganesh (1998), Anaganaga Oka Roju (1997), Aha Naa Pellanta (1996), Aame (1994), Hello Brother (1994), Govindha Govindha (1993), Gaayam (1993), Money (1993), Shatruvu (1990), Shiva (1989), Pratighatana (1986), and Repati Pourulu (1986). In 2003, He made his debut in Tamil film Saamy as a suave villain. He played a negative role Saniyan Saggadi in the Tamil film Thirupaachi.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"90","Krishna Kumar",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Krishna Kumar (b Nov 1, 1970) is an Indian chemist whose research spans organic chemistry, chemical biology, bioorganic chemistry, biophysics and cell biology.He is currently Professor of Chemistry and was Chemistry Department Chair from 2006 until 2009 at Tufts University.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"91","Krishna Sekhar",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"92","Kumaravel",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"93","Kunal",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"94","Lal",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Lal or Lala is an Indo-Iranian word that is used as a surname or honorific title, predominantly used in Chitral but also used in India and other South-Asian countries, or as ""title name"", meaning ""sradar"" or ""tribe chief"". It is mainly used by Kayastha community, given by the Mughals for the administrators and learned Persons of that period. It is also used for addressing vizers and grand vizers. Lala and lal is also used for addressing sahukars and bania of Vaishya community.Lala Mustafa Pasha,Lalyane Shali belong to the Quzal Baig caste. The most influential personalities with the Lal title in Chitral are, namely, Mahabat Khan Lala, Munfat Khan Lal, Lala Muhammad Khan lal (Qazi), Daniyal Baig Lal, Mir Lala, Mouzan khan Lal, Haji miran Lala and Haji Muhammad Sadbar khan Lal. The word Lal is the surname of Lalyany Shali. Other people of Chitral who are using this title is only and only to show there influnciality on others and nothing else.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"95","Lawrence Raghava","Raghav Murugaiyan","28004",Na,"fb - , twitter - ","Actor, Director, Dancer, Choreographer, Music composer, Philanthropist",Na,Na,Na,"","http://cdn3.supergoodmovies.com/FilesThree/a20296fea9ca4207a11e99923b88c1cd.JPG",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"96","Livingston",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"97","M. G. R","Marudhur Gopalan Ramachandran","17/01/1917",Na,"fb - , twitter - ","Actor, Politician, Producer, Director",Na,Na,Na,"","http://www.cinewriters.com/wp-content/uploads/2013/12/mgr.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"98","M. K. Thyagaraja Bagavadhar",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"99","M. N. Nambiar","Manjeri Narayanan Nambiar","7/3/1919",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""M. N. Nambiar (7 March 1919 – 19 November 2008), born Manjeri Narayanan Nambiar, was a film actor in Tamil cinema who dominated the industry in the role of villain for around 50 years. Also known as Nambiar swami or Maha Guruswami, he was a spiritual leader who pioneered the movement of taking pilgrims to Sabarimala.""","https://oldmalayalamcinema.files.wordpress.com/2011/11/mn-nambiar-actor-extraordinaire.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"100","M. K. Radha",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""M. K. Radha (20 November 1910 - 29 August 1985) was a Tamil cinema actor. He was born in Chennai and took up acting in Tamil stage at the age of 7. He was tutored by his father Kandasamy Mudaliar a famous drama teacher at that time. His career spanned for almost 25 years in Tamil drama as a lead actor during India´s pre-independence days and he was a popular social hero in various patriotic dramas.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"101","M. R. Radha",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Madras Rajagopala Radhakrishnan Naidu (b. 14 April 1907 - 17 September 1979), popularly known by his stage name, M. R. Radha was an Indian film actor and politician. He was given the title of ""Nadigavel"" for his acting prowess. After a successful career on stage in his early years, he acted in films from the 1930s to the 1970s, and then, giving up films, he went back to his first love - Stage.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"102","M. S. Baskar",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"103","Madhavan","Madhavan Balaji Ranganathan","25574",Na,"fb - , twitter - ","Actor, Writer, Producer, Television presenter",Na,Na,Na,"","http://www.tellychakkar.com/sites/www.tellychakkar.com/files/images/movie_image/2014/06/05/madhavan.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"104","Madhan Bob",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""S. Krishnamoorthy (born October 9), better known by his screenname Madhan Bob, is a popular comedian and Tamil film actor from Chennai, Tamil Nadu, India. He started his film career as a musician and became an actor instead. Apart from appearing in supporting roles in Tamil films he also appears in the Sun TV comedy show Asathapovathu Yaaru as one of the judges. His debut film was Vaaname Ellai. It was Madan Bob who first taught A. R. Rahman music.He was eighth child in his family, so he was christened Krishnamurthy which also happened to be his uncle’s name and there was a lot of confusion in the house, so they changed his name to Madan. his brother’s name is Padmanabhan a.k.a. Babu. Both started a music group called ‘Madan and Babu’. In time, the Babu became Bob and that’s how director Balachander introduced him in his first film.During the shooting of Mappillai (2011), Madhan Bob was injured in an accident. His assistant was also with him. When the car was nearing Vaagai Kulam a dog crossed the road. In order to avoid hitting the dog, the driver applied a sudden brake. Because of this the car capsized. Madan Bob, his assistant and car driver were seriously injured. Madan Bob somehow managed to break the glass door. He saved the driver and his assistant. The three were taken to a nearby hospital for treatment. After the treatment Madan Bob participated in the shooting.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"105","Mahadevan",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"106","Mahat Raghavendra",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Mahat Raghavendra is an Tamil film actor, who is best known for his role in Venkat Prabhu's action thriller, Mankatha.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"107","Mahendran",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"108","Malaysia Vasudevan",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Vasudevan Nair (15 June 1944 – 20 February 2011), known as Malaysia Vasudevan was a Tamil playback singer and actor in the Tamil film industry.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"109","Mammooty",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"110","Manivannan",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""S. Manivannan Rajagopal (31 July 1953 – 15 June 2013), popularly known mononymously as Manivannan, was an Indian film actor and director. In a career spanning three decades, Manivannan went from being a story and dialogue writer for veteran director Bharathiraja from 1980-82 to a successful director who thrived in experimenting with different genres, before becoming an actor. With over 400 films to his name, Manivannan was one of the most experienced actors in the field and has directed exact 50 films. Manivannan was mainly a supporting actor in films and often played the comedian or the villain's role.During his lifetime, he supported various political parties, including the Dravida Munnetra Kazhagam and the Marumalarchi Dravida Munnetra Kazhagam. He later became affiliated with the Naam Tamilar Katchi and had long supported its ideology of Sri Lankan Tamil nationalism.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"111","Manobala",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Manobala is a Tamil director and comedian actor who predominantly plays supporting roles.Manobala has directed 40 films, 16 television serials and 3 tele-films during his career as a director. As an actor, he had appeared in more than 175 films as of July 2009.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"112","Manoj Bharathiraja",Na,Na,Na,"fb - , twitter - ",Na,Na,Na,Na,"""Manoj K. Bharathi (born September 11, 1976 as Manoj Bharathiraja) is a Tamil film actor. He has starred in several films, and is most noted as the son of director Bharathiraja.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
